objectid,filename,format,title,text,description,latitude,longitude,location,image,date,color,dimensions,parentid
mt_westminster,bm_westminster.tiff,multiple,Westminster Cathedral,Westminster Cathedral,Christological monogram ; Tower and main entrance of the cathedral.,51.49585,-0.13943,London,,,"blue,gold",,
mt_wells,bm_wells.tiff,multiple,Wells Cathedral,the Clock ; the Chapter House ; Wells Cathedral,View of the cathedral from a distance with ducks on a lake in the foreground ; the cathedral’s astrological clock ; fanned vaults of the chapterhouse building.,51.21048,-2.64346,South West,,,"blue,gold",,
mt_warwick,bm_warwick.tiff,multiple,Warwick Castle,Caesar’s Tower ; the great hall ; great curtain wall ; Warwick Castle,"Caesar's Tower, with the castle wall in the background and greenery in the foreground ; Large hall with a ribbed ceiling, a large painting, and suits of armor in ogive stands ; The castle's curtain wall, with the gatehouse on the left and Guy's Tower on the right.",52.27831,-1.58843,West Midlands,,,"blue,gold",,
mt_war,bm_war.tiff,multiple,Imperial War Museum,IWM ; Imperial War Museum,Top profile of three Spitfire fighter airplanes.,51.58819,-0.16068,London,,,"black,silver",,
mt_vikings,bm_vikings.tiff,multiple,Jorvik,"door jams from Hyllestad Church, Norway ; carved doorway Opdal Church, Norway ; stylized warrior Valsgade, Sweden ; viking kingdom silver penny, York",Elaborate medieval illustration of vikings fighting and talking ; Medieval illustration of a king standing over a harp ; Illustration of an armored warrior with spear and shield ; Coin with a raven in the center and viking runes around the edge.,53.95743,-1.0803,Yorkshire and the Humber,,,"black,silver",,
mt_tower_2,bm_tower_2.tiff,multiple,Tower of London,sigillum turris londini ; HM Royal Palace and Fortress of the Tower of London,Stylized illustration of the Tower.,51.69236,-0.15834,London,,,"blue,gold",,
mt_tower,bm_tower.tiff,multiple,Tower of London,historic royal palaces ; Tower of London,Fully-colored Yeoman of the Guard in uniform.,51.69236,-0.15834,London,,,"black,gold",,
mt_tintern,bm_tintern.tiff,multiple,Tintern Abbey,Abaty Tyndyrn ; Tintern Abbey ; Cadw ; www.cadw.wales.gov.uk,Three-quarter view of the abbey ruins.,51.69698,-2.67707,Wales,,,"black,gold",,
mt_sarum,bm_sarum.tiff,multiple,Old Sarum,Bishop Joceline 1184 ; Old Sarum,Medieval illustration of Bishop Joceline.,51.10162,-1.78475,South West,,,"red,gold",,
mt_salisbury_2,bm_salisbury_2.tiff,multiple,Salisbury Cathedral,Salisbury Cathedral,Portrait of Madonna and child ; View of the front facade and tower of the cathedral ; Stained glass window portraying Madonna and child.,51.06514,-1.7973,South West,,,"blue,silver",,
